연월,분석차원,분류,신설법인수,부산전체신설법인수,비중_pct,전월대비증감률_pct,전년동월대비증감률_pct,3개월이동평균,데이터상태,출처파일,검증_주의
202201,부산전체,전체,548,548,100.0,,,,원문월총계,2._2022년_1월중_부산지역_신설법인_현황_조사_보고서.pdf,
202202,부산전체,전체,466,466,100.0,-14.96,,,원문월총계,2._2022년_2월중_부산지역_신설법인_현황_조사_보고서.pdf,2022년 2월은 수산업 1개체가 별도 업종으로 표기되어 업종 상세 CSV에 별도 행으로 보존.
202203,부산전체,전체,572,572,100.0,22.75,,528.67,원문월총계,2._2022년_3월중_부산지역_신설법인_현황_조사_보고서.pdf,
202204,부산전체,전체,622,622,100.0,8.74,,553.33,원문월총계,2._2022년_4월중_부산지역_신설법인_현황_조사_보고서.pdf,
202205,부산전체,전체,597,597,100.0,-4.02,,597.0,원문월총계,2._2022년_5월중_부산지역_신설법인_현황_조사_보고서.pdf,
202206,부산전체,전체,516,516,100.0,-13.57,,578.33,원문월총계,2._2022년_6월_및_상반기_부산지역_신설법인_현황_조사_보고서.pdf,
202207,부산전체,전체,488,488,100.0,-5.43,,533.67,원문월총계,2022년_7월_부산지역_신설법인_현황_조사_보고서.pdf,
202208,부산전체,전체,457,457,100.0,-6.35,,487.0,원문월총계,2._2022년_8월중_부산지역_신설법인_현황_조사_보고서.pdf,
202209,부산전체,전체,381,381,100.0,-16.63,,442.0,원문월총계,2._2022년_9월중_부산지역_신설법인_현황_조사_보고서.pdf,
202210,부산전체,전체,372,372,100.0,-2.36,,403.33,원문월총계,2022년_10월중_부산지역_신설법인_현황_조사_보고서.pdf,
202211,부산전체,전체,346,346,100.0,-6.99,,366.33,원문월총계,2022년_11월중_부산지역_신설법인_현황_조사_보고서.pdf,
202212,부산전체,전체,394,394,100.0,13.87,,370.67,원문월총계,2._2022년_12월_및_2022년_부산지역_신설법인_현황_조사_보고서.pdf,
202301,부산전체,전체,374,374,100.0,-5.08,-31.75,371.33,원문월총계,2._2023년_1월중_부산지역_신설법인_현황_조사_보고서.pdf,
202302,부산전체,전체,399,399,100.0,6.68,-14.38,389.0,원문월총계,2._2023년_2월중_부산지역_신설법인_현황_조사_보고서.pdf,
202303,부산전체,전체,403,403,100.0,1.0,-29.55,392.0,원문월총계,2._2023년_3월중_부산지역_신설법인_현황_조사_보고서.pdf,
202304,부산전체,전체,369,369,100.0,-8.44,-40.68,390.33,원문월총계,2._2023년_4월중_부산지역_신설법인_현황_조사_보고서.pdf,
202305,부산전체,전체,382,382,100.0,3.52,-36.01,384.67,원문월총계,2._2023년_5월중_부산지역_신설법인_현황_조사_보고서.pdf,
202306,부산전체,전체,383,383,100.0,0.26,-25.78,378.0,원문월총계,2._2023년_6월_및_상반기_부산지역_신설법인_현황_조사_보고서.pdf,
202307,부산전체,전체,413,413,100.0,7.83,-15.37,392.67,원문월총계,2023년_7월중_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202308,부산전체,전체,355,355,100.0,-14.04,-22.32,383.67,원문월총계,2023년_8월중_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202309,부산전체,전체,368,368,100.0,3.66,-3.41,378.67,원문월총계,2023년_9월중_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202310,부산전체,전체,339,339,100.0,-7.88,-8.87,354.0,원문월총계,2023년_10월중_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
202311,부산전체,전체,365,365,100.0,7.67,5.49,357.33,원문월총계,2023년_11월중_부산지역_신설법인_현황_조사_보고서(업로드용).pdf,
